family	labels	text
event-wiring	dead-interactive	Find JSX controls that have no event handler attached.
event-wiring	dead-interactive	Inspect the interface for clickable elements without callbacks.
form-controls	dead-interactive	The submit button does nothing; locate buttons missing onClick wiring.
form-controls	dead-interactive	Audit form buttons for absent action handlers.
menu-actions	dead-interactive	Find menu links with neither a destination nor an action.
menu-actions	dead-interactive	Which interactive navigation elements are inert?
jsx-audit	dead-interactive	List dead interactive JSX elements across the frontend.
jsx-audit	dead-interactive	Scan rendered controls for missing handlers rather than searching named functions.
orphan-methods	dead-code	List methods with zero callers in the static graph.
orphan-methods	dead-code	Find functions that nobody calls.
unused-export	dead-code	Audit unused exported functions for possible deletion.
unused-export	dead-code	Find dead code candidates among the helper methods.
retired-helpers	dead-code	Identify unreferenced helper routines left after the migration.
retired-helpers	dead-code	Which helper functions have no incoming call edges?
call-scan	dead-code	Search the call graph for orphan functions, acknowledging dynamic calls may be missed.
call-scan	dead-code	Show zero-caller methods as inspection candidates, not proven safe deletions.
fan-in-priority	hotspots	Rank source files by how many other files depend on them.
fan-in-priority	hotspots	Prioritize the most depended-on modules for a broad refactoring campaign.
coupling-audit	hotspots	Show dependency hotspots with the highest fan-in.
coupling-audit	hotspots	Which files are central because many modules import them?
refactor-order	hotspots	Order repository-wide cleanup by incoming dependency count.
refactor-order	hotspots	Before broad refactoring, identify files with the largest blast radius by fan-in.
shared-infrastructure	hotspots	List the most widely depended upon files in the codebase.
shared-infrastructure	hotspots	Inspect heavily imported infrastructure modules first.
last-week	recent-changes	List files touched by the recent commits.
last-week	recent-changes	Start this investigation from the latest changed files.
churn-review	recent-changes	Inspect recent history to identify files with fresh churn.
churn-review	recent-changes	Show the files edited most recently in git.
release-regression	recent-changes	A regression appeared after the latest release; inspect the recent changes first.
release-regression	recent-changes	Use the latest commit history as the starting point for this regression.
recent-review	recent-changes	Review what changed in the last commits.
recent-review	recent-changes	Which files have new edits in repository history?
parser-local	by-concept	Refactor the JSON parser to return a structured error on malformed input.
parser-local	by-concept	Fix the parser bug when a string ends with an escape.
runtime-removal	by-concept	Remove expired entries from the cache during lookup.
runtime-removal	by-concept	Remove the authorization header before forwarding this request.
symbol-homonym	by-concept	Find the implementation of LinkResolver in the dependency linker.
symbol-homonym	by-concept	Change the priority queue comparator to sort jobs by deadline.
local-ui	by-concept	Change the button color to match the accessibility theme.
local-ui	by-concept	Update the navigation component translation strings.
quoted-topic	by-concept	The README says "dead code"; correct its spelling without scanning for unused functions.
quoted-topic	by-concept	Translate the message "recent regression" in the locale file.
negated-scan	by-concept	Do not list unused functions; locate the transaction parser instead.
negated-scan	by-concept	Do not rank hotspots; find the serializer implementation.
negated-history	by-concept	Ignore recent changes and inspect the cache key algorithm.
negated-history	by-concept	Do not inspect git history; fix the hash table bug directly.
negated-ui	by-concept	Do not scan clickable controls; locate the event queue implementation.
negated-ui	by-concept	Ignore dead buttons and explain the request scheduler.
multiscan-cleanup	dead-code,hotspots	Find zero-caller functions and rank files by their number of dependents.
multiscan-cleanup	dead-code,hotspots	Audit unreferenced methods, then show the highest fan-in modules.
multiscan-frontend	dead-interactive,recent-changes	List unwired JSX buttons and inspect files touched by recent commits.
multiscan-frontend	dead-interactive,recent-changes	Find inert interactive controls and show the latest modified files.
selective-scan	dead-code	Find uncalled routines but do not rank dependency hotspots.
selective-scan	dead-code	List unused methods; skip the recent history scan.
selective-history	recent-changes	Inspect the latest modified files, but do not enumerate dead code.
selective-history	recent-changes	Show recent edits without scanning buttons for missing handlers.
selective-hotspots	hotspots	Rank files by fan-in, not by how recently they changed.
selective-hotspots	hotspots	Find heavily depended-on modules; do not search for unused functions.
selective-ui	dead-interactive	Find buttons missing handlers, but ignore the latest git changes.
selective-ui	dead-interactive	Audit inert links without ranking highly imported modules.
